nome,idade,email
João,25,joao@gmail.com
Maria,30,maria@outlook.com
Carlos,abc,carlos@yahoo.com
Ana,45,anaemail.com
Paulo,18,paulo@hotmail.com
Luiza,-22,luiza@protonmail.com
Renato,40,renatoemail.com
Lívia,29,livia@icloud.com
Tiago,21,tiago@aol.com
Mariana,35,mariana@live.com
Beatriz,25,beatriz@ymail.com
Lucas,idade,lucas@zoho.com
Camila,28,camila@fastmail.com
Fernando,27,fernando@tutanota.com
Priscila,33,priscila@uol.com.br
Felipe,-5,felipe@mail.com
Sofia,31,sofia@gmailcom
Rafael,22,rafael@outlook.com
Alice,19,alice@gmail.com
Bruno,45,bruno@protonmail.com
Juliana,abc,juliana@icloud.com
Marcelo,38,marcelo@aol.com
Tatiana,42,tatiana@live.com
Diego,26,diego@gmail.com
Larissa,33,larissa@yahoo.com
Eduardo,50,eduardo@hotmail
Renata,24,renata@zoho.com
Lucas,idade2,lucas@icloud.com
Sara,29,sara@ymail.com
Igor,0,igor@outlook.com
Patrícia,37,patricia@icloud.com
Júlio,-15,julio@gmail.com
Natália,28,natalia@fastmail.com
Roberto,abc,roberto@live.com
Carolina,41,carolina@protonmail.com
Marcela,30,marcela@icloud.com
Gustavo,23,gustavo@
Clarice,40,clarice@uol.com.br
Daniela,32,daniela@gmail.com
Vitor,27,vitor@ymail.com
